epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,271.713,0.82936,0.89098,1.23137,0.89408,0.83333,0.83627,0.52082,1.32378,2.05512,1.93749,0.000990365,0.000990365,0.000990365
43,278.171,0.74325,0.72162,1.1519,0.5898,0.66667,0.63855,0.40677,1.14825,1.9846,1.95109,0.000973861,0.000973861,0.000973861
44,284.387,0.71421,0.71546,1.164,0.5898,0.66667,0.63855,0.40677,1.14825,1.9846,1.95109,0.000957358,0.000957358,0.000957358
45,291.217,0.71706,0.71667,1.07872,0.66713,0.74724,0.81625,0.66488,0.90986,1.83173,1.51846,0.000940855,0.000940855,0.000940855
46,297.738,0.65443,0.65162,1.11925,0.66713,0.74724,0.81625,0.66488,0.90986,1.83173,1.51846,0.000924352,0.000924352,0.000924352
47,304.412,0.68241,0.67875,1.08679,0.77032,0.80875,0.929,0.86656,0.58199,1.65792,1.24424,0.000907848,0.000907848,0.000907848
48,312.141,0.69429,0.62983,1.07962,0.77032,0.80875,0.929,0.86656,0.58199,1.65792,1.24424,0.000891345,0.000891345,0.000891345
49,320.57,0.76968,0.6945,1.23915,0.98327,0.8283,0.863,0.77613,0.75981,1.26255,1.24346,0.000874842,0.000874842,0.000874842
50,327.703,0.6579,0.67886,1.10221,0.98327,0.8283,0.863,0.77613,0.75981,1.26255,1.24346,0.000858338,0.000858338,0.000858338
51,334.238,0.64378,0.67095,1.05482,0.97385,1,0.995,0.85781,0.72803,0.71217,1.48308,0.000841835,0.000841835,0.000841835
52,340.451,0.66661,0.66019,1.1022,0.97385,1,0.995,0.85781,0.72803,0.71217,1.48308,0.000825332,0.000825332,0.000825332
53,346.82,0.66468,0.65493,1.08646,0.95391,0.9938,0.995,0.79395,0.74326,1.04711,1.41547,0.000808828,0.000808828,0.000808828
54,353.051,0.62031,0.61154,1.09981,0.95391,0.9938,0.995,0.79395,0.74326,1.04711,1.41547,0.000792325,0.000792325,0.000792325
55,359.684,0.70512,0.60711,1.1017,0.89637,0.86307,0.995,0.78847,0.76543,1.17035,1.30089,0.000775822,0.000775822,0.000775822
56,365.929,0.63873,0.59749,1.10355,0.89637,0.86307,0.995,0.78847,0.76543,1.17035,1.30089,0.000759318,0.000759318,0.000759318
57,372.707,0.63667,0.62491,1.06117,0.85203,1,0.995,0.83958,0.66863,0.98524,1.201,0.000742815,0.000742815,0.000742815
58,379.001,0.63684,0.68583,1.09823,0.85203,1,0.995,0.83958,0.66863,0.98524,1.201,0.000726312,0.000726312,0.000726312
59,385.252,0.62469,0.64058,1.15264,0.95571,1,0.995,0.76036,0.8115,0.8164,1.27212,0.000709809,0.000709809,0.000709809
60,392.369,0.59237,0.5899,1.09657,0.95571,1,0.995,0.76036,0.8115,0.8164,1.27212,0.000693305,0.000693305,0.000693305
61,399.041,0.53523,0.56121,1.00681,0.92283,1,0.995,0.83174,0.67254,0.77321,1.24402,0.000676802,0.000676802,0.000676802
62,405.507,0.51948,0.49755,1.00725,0.92283,1,0.995,0.83174,0.67254,0.77321,1.24402,0.000660299,0.000660299,0.000660299
63,412.359,0.5475,0.50871,1.04311,0.91122,1,0.995,0.84245,0.65679,0.77421,1.34432,0.000643795,0.000643795,0.000643795
64,418.703,0.55787,0.57072,1.06308,0.91122,1,0.995,0.84245,0.65679,0.77421,1.34432,0.000627292,0.000627292,0.000627292
65,425.096,0.57741,0.53649,1.06107,0.95026,1,0.995,0.87846,0.62415,0.8133,1.40968,0.000610789,0.000610789,0.000610789
66,432.829,0.6008,0.57064,1.06166,0.95026,1,0.995,0.87846,0.62415,0.8133,1.40968,0.000594286,0.000594286,0.000594286
67,440.54,0.53524,0.54091,1.03786,0.90524,0.96231,0.995,0.81272,0.67747,0.82939,1.46639,0.000577782,0.000577782,0.000577782
